"Issue Key,Summary,Issue Type,Priority,Status,Assignee,Created,Due Date,Resolution"
"RISK-101,S3 bucket public read misconfiguration could expose UK customer PII,Risk,High,In Progress,Cloud Engineering,2026-03-01,2026-06-30,"
"RISK-102,Over-privileged IAM roles - 15 DevOps engineers have admin access,Risk,High,In Progress,IAM Team,2026-03-01,2026-07-15,"
"RISK-103,Replication pipeline may store UK data in eu-west-1 (Ireland),Risk,Medium,In Progress,Data Governance,2026-03-05,2026-08-30,"
"RISK-104,Vendor lock-in risk due to heavy AWS native service use,Risk,Low,Mitigated,Architecture,2026-03-10,2026-05-15,Mitigation plan implemented"
"RISK-105,New payment initiation API not scanned for OWASP Top 10,Risk,High,In Progress,Product Security,2026-03-01,2026-05-31,"
"RISK-106,Cloud logs not fully ingested into central SIEM (Splunk),Risk,Medium,In Progress,SecOps,2026-03-01,2026-06-30,"
"RISK-107,Privileged AWS console access not continuously monitored,Risk,Medium,Not Started,IAM Team,2026-03-15,2026-09-30,"
"RISK-108,DynamoDB backups never tested for restore (RPO/RTO),Risk,High,In Progress,Cloud Engineering,2026-03-01,2026-06-15,"
"RISK-109,Key rotation policy out of sync with KMS capability,Risk,Low,Not Started,Security Architecture,2026-03-20,2026-07-31,"
"RISK-110,Upstream SaaS dependencies may affect UK region availability,Risk,Medium,In Progress,Third-Party Risk,2026-03-01,2026-08-31,"
"INC-205,API latency >5 sec for 30% of P2P transfer requests,Incident,High,Resolved,Platform Engineering,2026-03-15,2026-03-22,Connection pool increased"
"INC-206,Batch job failed for merchant settlement (2 cycles),Incident,Medium,Resolved,Payments Engineering,2026-03-10,2026-03-15,Retry mechanism added"
"INC-207,Payment gateway timeout - 15% decline rate,Incident,Critical,In Progress,Payments Reliability,2026-03-28,2026-04-20,"
"INC-208,Fraud API latency >1 sec (SLO=200ms),Incident,High,In Progress,ML Ops,2026-03-20,2026-05-10,"
"CHG-089,Cloud Migration Phase 1 - DAST found SQL injection,Change,Blocker,Blocked,Product Security,2026-04-01,2026-04-20,"
"CHG-090,New Checkout Flow - awaiting pen test,Change,Medium,In Review,CISO Office,2026-04-05,2026-05-15,"
"CHG-091,Real-time Balance API - pen test report pending,Change,Medium,In Review,CISO Office,2026-04-05,2026-05-30,"